company_name,company_website
Propeller,http://www.propelleraero.com
Sprout Solutions,http://www.sprout.ph
Route,http://www.route.com
Smith.ai,http://www.smith.ai
Sovrn,http://www.sovrn.com
Fashinza,http://www.fashinza.com
Ollang,http://www.ollang.com
Proper,http://proper.ai
Shenzhen Newdo Technology,http://www.ecqun.com
LigaData,http://www.ligadata.com
Preligens,http://www.preligens.com
Ambar,http://www.ambar.tech
Hudson MX,http://www.hudsonmx.com
Classifyit,http://www.classifyit.co
Dixa,http://www.dixa.com
Shipsy,http://www.shipsy.in
Finbourne,http://www.finbourne.com
NHN Cloud,http://www.nhncloud.com/kr
Maropost,http://www.maropost.com
